02-13 18:33:54: Training starting...
02-13 18:33:55: New best reward -8.1 (-100.0%) at episode 0, saving model...
02-13 18:33:55: New best reward -3.9 (-51.9%) at episode 2, saving model...
02-13 18:33:55: New best reward -2.1 (-46.2%) at episode 79, saving model...
02-13 18:33:58: New best reward 1.5 (-171.4%) at episode 583, saving model...
02-13 18:34:15: New best reward 3.9 (+160.0%) at episode 3493, saving model...
02-13 18:34:38: New best reward 4.0 (+2.6%) at episode 6806, saving model...
02-13 18:35:13: New best reward 4.6 (+15.0%) at episode 11101, saving model...
02-13 18:35:15: New best reward 4.8 (+4.3%) at episode 11236, saving model...
02-13 18:35:42: New best reward 6.6 (+37.5%) at episode 14311, saving model...
02-13 18:36:13: New best reward 8.4 (+27.3%) at episode 17598, saving model...
02-13 19:56:54: New best reward 9.2 (+9.5%) at episode 314388, saving model...
02-13 19:56:54: New best reward 11.0 (+19.6%) at episode 314398, saving model...
02-13 19:56:57: New best reward 11.1 (+0.9%) at episode 314547, saving model...
02-13 19:56:58: New best reward 11.3 (+1.8%) at episode 314615, saving model...
02-13 19:57:03: New best reward 12.3 (+8.8%) at episode 314828, saving model...
02-13 19:57:06: New best reward 12.9 (+4.9%) at episode 314964, saving model...
02-13 19:57:17: New best reward 15.2 (+17.8%) at episode 315518, saving model...
02-13 19:57:22: New best reward 15.4 (+1.3%) at episode 315671, saving model...
02-13 19:57:22: New best reward 18.6 (+20.8%) at episode 315681, saving model...
02-13 19:57:22: New best reward 20.3 (+9.1%) at episode 315692, saving model...
02-13 19:57:23: New best reward 20.7 (+2.0%) at episode 315703, saving model...
02-13 19:57:31: New best reward 22.4 (+8.2%) at episode 316045, saving model...
02-13 19:57:32: New best reward 27.8 (+24.1%) at episode 316123, saving model...
02-13 19:57:33: New best reward 31.9 (+14.7%) at episode 316191, saving model...
02-13 19:58:23: New best reward 36.4 (+14.1%) at episode 318417, saving model...
02-13 19:58:36: New best reward 37.3 (+2.5%) at episode 318976, saving model...
02-13 19:59:26: New best reward 50.4 (+35.1%) at episode 321155, saving model...
02-13 20:00:27: New best reward 54.9 (+8.9%) at episode 323697, saving model...
02-13 20:03:51: New best reward 55.3 (+0.7%) at episode 331460, saving model...
02-13 20:09:13: New best reward 57.2 (+3.4%) at episode 343635, saving model...
02-13 20:13:53: New best reward 66.6 (+16.4%) at episode 353676, saving model...
02-13 20:18:26: New best reward 76.4 (+14.7%) at episode 363540, saving model...
02-13 20:28:35: New best reward 97.5 (+27.6%) at episode 384606, saving model...
02-13 20:45:57: New best reward 99.3 (+1.8%) at episode 417986, saving model...
02-13 20:57:59: New best reward 122.6 (+23.5%) at episode 440158, saving model...
